City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Rawson,AR,2021-12-13 02:38:41,-43.3002,-65.1023,58.17,65,99,10.31
203,Atar,MR,2021-12-13 02:38:42,20.5169,-13.0499,68.85,17,89,7.96
204,Brownsville,US,2021-12-13 02:38:42,25.9018,-97.4975,64.9,83,90,3.0
205,Olafsvik,IS,2021-12-13 02:38:42,64.8945,-23.7142,40.89,92,100,19.77
206,Vao,NC,2021-12-13 02:38:43,-22.6667,167.4833,76.93,90,100,13.04
207,Helmstedt,DE,2021-12-13 02:38:44,52.2279,11.0099,47.52,97,100,9.08
208,Saint-Philippe,RE,2021-12-13 02:36:59,-21.3585,55.7679,76.59,71,37,11.07
209,Port-Gentil,GA,2021-12-13 02:38:44,-0.7193,8.7815,79.09,85,100,7.96
210,Grand Gaube,MU,2021-12-13 02:36:21,-20.0064,57.6608,76.37,76,6,4.0
211,Saint-Louis,SN,2021-12-13 02:38:45,16.3333,-15.0,76.33,12,100,10.11
212,Hami,CN,2021-12-13 02:38:19,42.8,93.45,23.47,41,10,2.48
213,Vaijapur,IN,2021-12-13 02:38:45,19.9167,74.7333,61.45,51,64,9.04
214,Murgab,TM,2021-12-13 02:38:46,37.4966,61.9714,44.47,93,75,9.22
215,Tete,MZ,2021-12-13 02:38:46,-16.1564,33.5867,86.09,48,0,3.44
216,Touros,BR,2021-12-13 02:38:47,-5.1989,-35.4608,81.5,77,29,14.88
217,Kuala Terengganu,MY,2021-12-13 02:38:47,5.3302,103.1408,80.55,89,40,2.3
218,Kijang,KR,2021-12-13 02:38:48,35.2442,129.2139,38.93,17,0,2.3
219,Qaqortoq,GL,2021-12-13 02:38:48,60.7167,-46.0333,16.3,80,100,5.48
220,Hirara,JP,2021-12-13 02:38:49,24.8,125.2833,69.66,77,75,18.41
221,Dingle,PH,2021-12-13 02:38:49,10.9995,122.6711,82.98,79,47,13.09
222,Morondava,MG,2021-12-13 02:38:50,-20.2833,44.2833,79.45,75,0,3.53
223,Kaeo,NZ,2021-12-13 02:38:50,-35.1,173.7833,72.32,94,100,5.75
224,Hasaki,JP,2021-12-13 02:38:51,35.7333,140.8333,55.29,31,41,14.63
225,Mersing,MY,2021-12-13 02:38:51,2.4312,103.8405,75.11,100,40,2.3
226,Flin Flon,CA,2021-12-13 02:38:52,54.7682,-101.865,9.75,96,100,2.64
227,Mecca,SA,2021-12-13 02:34:56,21.4267,39.8261,70.56,37,83,5.21
228,Hovd,MN,2021-12-13 02:39:53,48.0056,91.6419,10.04,60,75,3.58
229,Arona,ES,2021-12-13 02:39:53,28.0996,-16.681,62.38,66,20,1.99
230,Meadow Lake,US,2021-12-13 02:39:53,34.8014,-106.5436,43.43,35,1,2.51
231,Tevaitoa,PF,2021-12-13 02:39:54,-16.7833,-151.5,80.94,75,72,12.06
232,Tiksi,RU,2021-12-13 02:39:54,71.6872,128.8694,-19.23,100,100,1.79
233,Souillac,MU,2021-12-13 02:39:55,-20.5167,57.5167,76.35,88,40,3.44
234,Katete,UG,2021-12-13 02:39:55,-0.7818,29.7544,63.45,72,100,2.35
235,Noumea,NC,2021-12-13 02:37:59,-22.2763,166.4572,76.98,94,100,2.73
236,Cody,US,2021-12-13 02:39:56,44.5263,-109.0565,38.01,54,1,8.05
237,Tuatapere,NZ,2021-12-13 02:39:46,-46.1333,167.6833,63.82,54,91,8.12
238,Ilulissat,GL,2021-12-13 02:39:56,69.2167,-51.1,19.42,63,40,10.36
239,Kharabali,RU,2021-12-13 02:39:57,47.4196,47.2568,24.22,55,13,11.12
240,Pevek,RU,2021-12-13 02:37:09,69.7008,170.3133,-32.67,96,10,2.42
241,Buala,SB,2021-12-13 02:39:58,-8.145,159.5921,85.08,76,87,8.5
242,Kologriv,RU,2021-12-13 02:39:58,58.8275,44.3178,15.39,93,100,6.89
243,Mar Del Plata,AR,2021-12-13 02:39:58,-38.0023,-57.5575,64.42,78,0,5.01
244,Vitre,FR,2021-12-13 02:39:59,48.1178,-1.2058,49.08,96,48,6.55
245,Mamou,GN,2021-12-13 02:39:59,10.5,-12.0,67.86,31,100,2.44
246,Dubbo,AU,2021-12-13 02:40:00,-32.25,148.6167,80.73,29,0,9.22
247,Vanavara,RU,2021-12-13 02:36:58,60.34,102.2797,-41.15,99,47,2.33
248,Karratha,AU,2021-12-13 02:40:00,-20.7377,116.8463,99.41,20,0,6.96
249,Hwange,ZW,2021-12-13 02:40:01,-18.3693,26.5019,76.26,42,98,1.16
250,Marzuq,YE,2021-12-13 02:40:01,14.4,46.4667,52.61,60,1,3.65
251,Salym,RU,2021-12-13 02:40:02,60.0625,71.4789,1.09,99,89,4.79
252,Shirokiy,RU,2021-12-13 02:40:02,49.758,129.523,0.32,78,100,4.05
253,Yumen,CN,2021-12-13 02:40:02,40.2833,97.2,24.39,31,2,23.51
254,Aksarka,RU,2021-12-13 02:40:03,66.5606,67.7975,-13.79,100,93,2.39
255,Raahe,FI,2021-12-13 02:40:03,64.6833,24.4833,30.0,87,100,11.92
256,Faya,SA,2021-12-13 02:40:04,18.3851,42.4509,44.71,44,0,3.04
257,Tutoia,BR,2021-12-13 02:40:04,-2.7619,-42.2744,84.18,83,88,13.67
258,Bima,ID,2021-12-13 02:40:04,-8.4667,118.7167,89.17,66,61,1.05
259,Surt,LY,2021-12-13 02:40:05,31.2089,16.5887,58.96,55,76,13.87
260,Armidale,AU,2021-12-13 02:40:06,-30.5167,151.65,73.2,37,1,4.81
261,Guatire,VE,2021-12-13 02:40:06,10.4762,-66.5427,76.21,96,88,2.98
262,Chuy,UY,2021-12-13 02:40:07,-33.6971,-53.4616,64.9,85,4,5.97
263,Carballo,ES,2021-12-13 02:40:07,43.213,-8.691,52.9,89,31,4.45
264,Mareeba,AU,2021-12-13 02:40:08,-17.0,145.4333,89.44,59,69,7.27
265,Saint-Francois,FR,2021-12-13 02:40:08,46.4154,3.9054,42.67,95,90,4.61
266,Bukama,CD,2021-12-13 02:40:08,-9.2,25.85,67.73,98,100,2.1
267,Kargopol,RU,2021-12-13 02:40:09,61.5071,38.9456,22.93,95,100,6.53
268,Mount Isa,AU,2021-12-13 02:40:09,-20.7333,139.5,100.17,9,4,10.36
269,Los Llanos De Aridane,ES,2021-12-13 02:40:10,28.6585,-17.9182,62.35,80,90,5.99
270,Reconquista,AR,2021-12-13 02:40:10,-29.15,-59.65,76.05,65,100,4.32
271,Seydi,TM,2021-12-13 02:40:11,39.4816,62.9137,44.53,68,100,8.01
272,Narsaq,GL,2021-12-13 02:40:11,60.9167,-46.05,16.02,76,79,3.53
273,Bonavista,CA,2021-12-13 02:40:12,48.6499,-53.1147,38.12,70,99,30.09
274,Laguna,US,2021-12-13 02:41:12,38.421,-121.4238,52.02,92,90,1.99
275,Sumbe,AO,2021-12-13 02:41:13,-11.2061,13.8437,77.05,90,100,1.86
276,Buin,CL,2021-12-13 02:41:13,-33.7333,-70.75,65.73,70,0,3.0
277,Belmonte,BR,2021-12-13 02:41:14,-15.8631,-38.8828,77.5,88,81,6.93
278,Porto Santo,PT,2021-12-13 02:41:14,33.072,-16.3415,62.51,88,40,2.3
279,Hofn,IS,2021-12-13 02:41:15,64.2539,-15.2082,39.83,77,100,3.04
280,Pak Phanang,TH,2021-12-13 02:41:15,8.3511,100.202,85.06,73,87,11.03
281,Griffith,US,2021-12-13 02:41:16,41.5284,-87.4237,44.71,67,1,4.0
282,Farah,AF,2021-12-13 02:41:16,32.5,62.5,38.7,49,0,4.09
283,Santa Cruz,BO,2021-12-13 02:41:17,-17.8,-63.1667,76.46,94,90,13.8
284,Broome,US,2021-12-13 02:41:17,42.2506,-75.833,39.65,59,1,1.99
285,Iskateley,RU,2021-12-13 02:41:18,67.6803,53.1512,15.01,94,100,10.98
286,Kloulklubed,PW,2021-12-13 02:41:18,7.0419,134.2556,86.5,79,58,14.58
287,Pedernales,DO,2021-12-13 02:41:19,18.0384,-71.744,77.88,70,0,4.41
288,Makakilo City,US,2021-12-13 02:41:19,21.3469,-158.0858,80.92,61,20,16.11
289,Gamba,GA,2021-12-13 02:41:20,-2.65,10.0,75.38,93,100,3.87
290,Korba,IN,2021-12-13 02:41:20,22.35,82.6833,64.51,38,24,3.87
291,San Quintin,MX,2021-12-13 02:41:21,30.4833,-115.95,50.43,76,0,4.43
292,Yerbogachen,RU,2021-12-13 02:41:21,61.2767,108.0108,-40.74,99,54,3.33
293,Rio Grande,BR,2021-12-13 02:41:22,-32.035,-52.0986,69.71,79,1,16.58
294,Marienburg,PL,2021-12-13 02:41:22,54.0359,19.0266,30.11,94,84,5.84
